timestamp,open,high,low,close,volume
2019-02-28,1119.0000,1133.9900,1118.4100,1126.5500,1367673
2019-02-27,1114.0100,1125.7300,1108.5600,1122.8900,1104881
2019-02-26,1114.3700,1126.4300,1106.7000,1122.0100,1751261
2019-02-25,1121.9300,1125.4000,1114.1100,1117.3300,1310362
2019-02-22,1109.7000,1117.2500,1100.5000,1116.5600,1471783
2019-02-21,1118.7800,1119.1500,1097.9800,1104.2100,1663980
2019-02-20,1128.8800,1130.9300,1111.7500,1120.5900,1204533
2019-02-19,1116.6400,1129.6400,1116.6400,1126.5100,1099259
2019-02-15,1139.3000,1139.3000,1116.7200,1119.6300,1391348
2019-02-14,1125.0000,1136.1300,1117.0900,1129.2000,1055297
2019-02-13,1133.0400,1142.8500,1126.0000,1128.6300,1402087
2019-02-12,1111.0100,1132.8600,1111.0100,1127.5800,1751771
2019-02-11,1103.7500,1113.4300,1100.0000,1102.1200,924881
2019-02-08,1094.8800,1105.1000,1094.2400,1102.3800,1088327
2019-02-07,1111.8200,1111.9900,1093.5900,1105.9100,1914877
2019-02-06,1149.2700,1154.0000,1118.3600,1122.8900,2412820
2019-02-05,1129.6300,1152.7700,1123.6000,1151.8700,4114790
2019-02-04,1119.0100,1142.3400,1117.5100,1141.4200,3920591
2019-02-01,1122.2900,1134.4000,1114.2500,1118.6200,1655813
2019-01-31,1112.2400,1127.6700,1105.2500,1125.8900,2011572
2019-01-30,1077.3600,1099.5200,1076.6400,1097.9900,1472647
2019-01-29,1081.0400,1084.7300,1066.0200,1070.0600,985248
2019-01-28,1090.0700,1093.3700,1074.6100,1079.8600,1466714
2019-01-25,1094.2300,1103.3600,1091.8000,1101.5100,1163788
2019-01-24,1082.5100,1088.0000,1070.0200,1084.0000,1455948
2019-01-23,1086.8600,1092.9500,1067.5700,1084.4100,1259738
2019-01-22,1096.0000,1098.9700,1070.8900,1078.6300,1981594
2019-01-18,1108.5900,1118.0000,1099.2800,1107.3000,2244569
2019-01-17,1087.9900,1100.7000,1083.2600,1099.1200,1244801
2019-01-16,1090.0000,1102.3600,1088.0100,1089.5100,1914041
2019-01-15,1058.0100,1088.2700,1054.4400,1086.5100,1875852
2019-01-14,1053.3400,1058.4500,1048.5500,1051.5100,1424486
2019-01-11,1069.9000,1073.3700,1056.4300,1064.4700,1543238
2019-01-10,1074.9400,1079.8100,1064.6800,1078.8300,1329861
2019-01-09,1087.9900,1091.6400,1074.3700,1081.6500,1349912
2019-01-08,1086.0000,1093.3500,1068.3500,1085.3700,1770654
2019-01-07,1080.9700,1082.7000,1062.6400,1075.9200,2372667
2019-01-04,1042.5600,1080.0000,1036.8600,1078.0700,2301428
2019-01-03,1050.6700,1066.2600,1022.3700,1025.4700,2097957
2019-01-02,1027.2000,1060.7900,1025.2800,1054.6800,1593395
2018-12-31,1057.8300,1062.9900,1033.0400,1044.9600,1655504
2018-12-28,1059.5000,1064.2300,1042.0000,1046.6800,1718352
