timestamp,open,high,low,close,volume
2019-02-28,23.2100,23.6700,23.1100,23.5300,38554376
2019-02-27,24.1100,24.2299,23.2100,23.4800,62649329
2019-02-26,24.6500,24.7200,24.1500,24.2100,48470089
2019-02-25,25.0100,25.5200,24.6800,24.7100,63221028
2019-02-22,24.0500,24.3600,23.8800,24.3600,52650728
2019-02-21,24.0400,24.3300,23.8500,23.9200,49608176
2019-02-20,24.1400,24.3700,23.9000,23.9500,57091617
2019-02-19,23.6250,24.4050,23.6050,23.9500,57517907
2019-02-15,23.5800,24.0500,23.2000,23.6800,78644109
2019-02-14,22.7400,23.3700,22.5900,23.1300,64441243
2019-02-13,22.9800,23.2400,22.7138,22.8500,57544167
2019-02-12,23.4300,23.5600,22.7500,22.8200,67595405
2019-02-11,23.0500,23.2827,22.6600,22.9600,60578705
2019-02-08,22.3300,23.2800,22.2700,23.0500,78129280
2019-02-07,22.9900,23.2200,22.3200,22.6700,86723886
2019-02-06,23.6300,24.1400,23.2200,23.2600,78684325
2019-02-05,23.4200,23.8600,22.9800,23.3100,122226034
2019-02-04,24.4300,24.6600,24.0700,24.1300,70843958
2019-02-01,24.6100,24.8400,24.0650,24.5100,105356175
2019-01-31,23.0200,25.1400,22.8300,24.4100,182575629
2019-01-30,21.4900,23.1300,21.3700,23.0900,211421150
2019-01-29,20.2600,20.3900,19.0500,19.2500,131202535
2019-01-28,20.3150,21.0100,20.0200,20.1800,135164064
2019-01-25,20.9900,22.0300,20.7900,21.9300,110555157
2019-01-24,20.0600,21.0100,20.0400,20.8500,97433423
2019-01-23,20.0300,20.4800,19.5500,19.8000,77811255
2019-01-22,20.4800,20.9199,19.7000,19.7600,78513667
2019-01-18,20.3700,21.0500,20.0200,20.7700,88130950
2019-01-17,19.4900,20.5100,19.0200,20.2500,85018421
2019-01-16,20.4000,20.5400,19.7100,19.7300,70849266
2019-01-15,20.4400,20.6800,20.2600,20.3800,62785800
2019-01-14,19.9600,20.6200,19.7500,20.2300,71350248
2019-01-11,19.4700,20.3500,19.1900,20.2700,85110766
2019-01-10,19.7600,19.8342,18.9000,19.7400,115629372
2019-01-09,20.8900,21.4400,20.0700,20.1900,163944073
2019-01-08,21.1900,21.2000,19.6800,20.7500,121270986
2019-01-07,19.4400,20.6800,19.0000,20.5700,107157014
2019-01-04,17.5500,19.0700,17.4300,19.0000,111878582
2019-01-03,18.4200,18.6800,16.9400,17.0500,117277563
2019-01-02,18.0100,19.0000,17.9800,18.8300,87148693
2018-12-31,18.1500,18.5101,17.8500,18.4600,84732181
2018-12-28,17.5300,18.3100,17.1350,17.8200,109214352
2018-12-27,17.4300,17.7400,16.4400,17.4900,111373008
2018-12-26,16.8800,17.9100,16.0300,17.9000,108811809
2018-12-24,16.5200,17.2199,16.3700,16.6500,62933126
2018-12-21,18.1200,18.3400,16.7600,16.9300,132245996
2018-12-20,18.1100,18.8600,17.3400,17.9400,119394487
2018-12-19,19.4400,19.7200,18.0000,18.1600,120644490
2018-12-18,19.1500,19.8400,18.8800,19.5000,101512938
2018-12-17,20.0100,20.0250,18.6350,18.8300,115437927
2018-12-14,19.5800,20.7000,19.5200,19.9000,84713551
2018-12-13,20.6300,20.8650,19.7600,19.8600,88108070
2018-12-12,20.3200,21.0200,19.7100,20.4800,100340657
